surname,surname_latin,n
Вензель,Venzelʹ,1
Генжель,Genželʹ,1
Генза,Genza,1
Денике,Denike,1
Бенин,Benin,1
Венинг,Vening,1
Генинберг,Geninberg,1
Денисова-Шефер,Denisova-Šefer,1
Денисенко,Denisenko,1
Гениш,Geniš,1
Геоп,Geop,1
Генрикс,Genriks,1
Генрйхс,Genrjhs,1
Генк,Genk,1
Венйбендер,Venjbender,1
Венклер-Сахнова,Venkler-Sahnova,1
Денкова,Denkova,1
Генке-Кер,Genke-Ker,1
Венкербец,Venkerbec,1
Генкельман,Genkelʹman,1
Бенкендорф,Benkendorf,1
Бенкес,Benkes,1
Генн,Genn,1
Генниг,Gennig,1
Геннис,Gennis,1
Беноист,Benoist,1
Генне-Примак,Genne-Primak,1
Генне-Орлова,Genne-Orlova,1
Беннер-Чумарова,Benner-Čumarova,1
Геннерберг,Gennerberg,1
Геннерт,Gennert,1
Деннемарк,Dennemark,1
Генненберг,Gennenberg,1
Бене,Bene,1
Гене,Gene,1
Денер,Dener,1
Генергард,Genergard,1
Генергардт,Genergardt,1
Бенек,Benek,1
Генеман,Geneman,1
Генеман-Берг,Geneman-Berg,1
Вент,Vent,1
Генс,Gens,1
Вентд,Ventd,1
Венский,Venskij,1
Венске,Venske,1
Бенслер,Bensler,1
Бенсон,Benson,1
Гентнер,Gentner,1
Вентцель,Ventcelʹ,1
Венталь,Ventalʹ,1
Гентшке,Gentške,1
Венц,Venc,1
Генц,Genc,1
Венц-Гопия,Venc-Gopiâ,1
Бенц-Гейнц,Benc-Gejnc,1
Бенцкий,Benckij,1
Генцле,Gencle,1
Венцлер,Vencler,1
Денцель,Dencelʹ,1
Венусель,Venuselʹ,1
Генат,Genat,1
Геншке,Genške,1
Гень,Genʹ,1
Деньгов,Denʹgov,1
Беньковская,Benʹkovskaâ,1
Дееч,Deeč,1
Деер,Deer,1
Беенко,Beenko,1
Гет,Get,1
Бесядовская,Besâdovskaâ,1
Весгейм,Vesgejm,1
Беспомощнова-Гебель,Bespomoŝnova-Gebelʹ,1
Весперман,Vesperman,1
Беспалова,Bespalova,1
Беткин,Betkin,1
Бетлинг,Betling,1
Детлов,Detlov,1
Весловский,Veslovskij,1
Веске-Мейер,Veske-Mejer,1
Бескаравайная,Beskaravajnaâ,1
Бетман,Betman,1
Гетманский,Getmanskij,1
Гетокова,Getokova,1
Детнер,Detner,1
Веснер,Vesner,1
Гете,Gete,1
Беседин,Besedin,1
Детерс,Deters,1
Гетт,Gett,1
Гесс-Черникова,Gess-Černikova,1
Гесс-Алькина,Gess-Alʹkina,1
Гесс-Шуллер,Gess-Šuller,1
Гессвальд,Gessvalʹd,1
Гестингс-Банковский,Gestings-Bankovskij,1
Бесслер,Bessler,1
Бетсон,Betson,1
Бетте,Bette,1
Деттер,Detter,1
Гестель,Gestelʹ,1
Вестфальд-Павличенко,Vestfalʹd-Pavličenko,1
Вестфальд-Салтаева,Vestfalʹd-Saltaeva,1
Ветц,Vetc,1
Ветхова,Vethova,1
Бетхолвд,Betholvd,1
Гетце,Getce,1
Гетцель,Getcelʹ,1
Гетш,Getš,1
Дец,Dec,1
Гец-Бруно,Gec-Bruno,1
Гец-Федейкина,Gec-Fedejkina,1
Бехгольд,Behgolʹd,1
Бецили,Becili,1
Гефлинг,Gefling,1
Деулина,Deulina,1
Гефлих,Geflih,1
Гецковская,Geckovskaâ,1
Гефле,Gefle,1
Гефке,Gefke,1
Гефке-Калло,Gefke-Kallo,1
Дехонд-Кин,Dehond-Kin,1
Дехер,Deher,1
Гефеле-Ротермель,Gefele-Rotermelʹ,1
Гефель-Винокурова,Gefelʹ-Vinokurova,1
Гефенидер,Gefenider,1
Гефт,Geft,1
Бехтгол,Behtgol,1
Бехтерев,Behterev,1
Дехант-Деркач,Dehant-Derkač,1
Дехант-Фогель,Dehant-Fogelʹ,1
Бехштедэр,Behštedér,1
Деабальд,Deabalʹd,1
Бешкарев,Beškarev,1
Бешнер,Bešner,1
Веше,Veše,1
Вешенфельдер,Vešenfelʹder,1
Вешторт,Veštort,1
Вуян,Vuân,1
Бучбах,Bučbah,1
Гучинская,Gučinskaâ,1
Бучукина,Bučukina,1
Бучукина-Говорухина,Bučukina-Govoruhina,1
Гудде,Gudde,1
Губбе,Gubbe,1
Гувва,Guvva,1
Гудрих,Gudrih,1
Будрых,Budryh,1
Губкина-Гельвих,Gubkina-Gelʹvih,1
Гуглер,Gugler,1
Дуглас,Duglas,1
Дубовицкая,Dubovickaâ,1
Будников,Budnikov,1
Дуве,Duve,1
Гудечек,Gudeček,1
Гудер,Guder,1
Буберек,Buberek,1
Гудерьянов,Guderʹânov,1
Дубель,Dubelʹ,1
Бубен,Buben,1
Будц,Budc,1
Губарева,Gubareva,1
Губанов,Gubanov,1
Гудшмид,Gudšmid,1
Дуздаль,Duzdalʹ,1
Бузиниус,Buzinius,1
Бузмакова,Buzmakova,1
Гузовский,Guzovskij,1
Гузовской,Guzovskoj,1
Гузе,Guze,1
Гузек,Guzek,1
Гужаковская,Gužakovskaâ,1
Бур,Bur,1
Гур,Gur,1
Бурчарт,Burčart,1
Бурдяк,Burdâk,1
Бургов,Burgov,1
Бурде,Burde,1
Дурбан,Durban,1
Буржинская,Buržinskaâ,1
Гурицкий,Gurickij,1
Дуппе-Щац,Duppe-Ŝac,1
Гуркин,Gurkin,1
Гуркина,Gurkina,1
Гурлебаус,Gurlebaus,1
Бурксер,Burkser,1
Бурлуцкая,Burluckaâ,1
Гурка,Gurka,1
Бурмайстер,Burmajster,1
Гурова-Герберт,Gurova-Gerbert,1
Гурова-Берсенева,Gurova-Berseneva,1
Гурова-Дударенко,Gurova-Dudarenko,1
Гурова-Ишина,Gurova-Išina,1
Дупс,Dups,1
Бурсиан,Bursian,1
Бурц,Burc,1
Дуракова,Durakova,1
Дурасова,Durasova,1
Дурасова-Бальцер,Durasova-Balʹcer,1
Дурасова-Радченко,Durasova-Radčenko,1
Дурасова-Смирнова,Durasova-Smirnova,1
Бурау,Burau,1
Буршталер,Burštaler,1
Гурьев,Gurʹev,1
Гук-Цимбельман,Guk-Cimbelʹman,1
Булгакова,Bulgakova,1
Булинг-Красина,Buling-Krasina,1
Буймистрова,Bujmistrova,1
Буйлова,Bujlova,1
Буллерт,Bullert,1
Гуммель-Высоцкая,Gummelʹ-Vysockaâ,1
Гуккенгеймер,Gukkengejmer,1
Гумменик,Gummenik,1
Гумменшеймер,Gummenšejmer,1
Бумман,Bumman,1
Гуйо,Gujo,1
Гуменник,Gumennik,1
Букентин,Bukentin,1
Гуменюк,Gumenûk,1
Дуксбергер,Duksberger,1
Гуйст,Gujst,1
Гулак,Gulak,1
Булах,Bulah,1
Булюка,Bulûka,1
Дуль,Dulʹ,1
Булычева,Bulyčeva,1
Бульба,Bulʹba,1
Гулько,Gulʹko,1
Дулькейт,Dulʹkejt,1
Бульман,Bulʹman,1
Бульон,Bulʹon,1
Бульский,Bulʹskij,1
Вульф-Попова,Vulʹf-Popova,1
Вульф-Триппель,Vulʹf-Trippelʹ,1
Вульцер,Vulʹcer,1
Гун,Gun,1
Бундже,Bundže,1
Вундер-Бейцгольд,Vunder-Bejcgolʹd,1
Гунгер-Данилова,Gunger-Danilova,1
Бундт,Bundt,1
Бунковский,Bunkovskij,1
Бунковская,Bunkovskaâ,1
Бункевич,Bunkevič,1
Дунович,Dunovič,1
Гунольд,Gunolʹd,1
Дуннен,Dunnen,1
Гунекер,Guneker,1
Бунте,Bunte,1
Бунаессман,Bunaessman,1
Гунштейн,Gunštejn,1
Бус-Миллер,Bus-Miller,1
Бутвиловский,Butvilovskij,1
Гутвин,Gutvin,1
Дутлова,Dutlova,1
Буткевич,Butkevič,1
Буткеева-Грос,Butkeeva-Gros,1
Гуславская,Guslavskaâ,1
Гутов-Бергман,Gutov-Bergman,1
Гутовская,Gutovskaâ,1
Гутнер-Кравец,Gutner-Kravec,1
Гутнехт,Gutneht,1
Гусельникова,Guselʹnikova,1
Бутт,Butt,1
Гутт,Gutt,1
Бусс-Гладких,Buss-Gladkih,1
Бусс-Ридель,Buss-Ridelʹ,1
Бусс-Мурадханова,Buss-Muradhanova,1
Буттер,Butter,1
Гуссар,Gussar,1
Буттштедт,Buttštedt,1
Гутцлав,Gutclav,1
Гутцайт,Gutcajt,1
Гусар,Gusar,1
Гусарт,Gusart,1
Бутаков,Butakov,1
Бутау,Butau,1
Гутше,Gutše,1
Бутьян,Butʹân,1
Бухина,Buhina,1
Вухрер,Vuhrer,1
Бухмиллер-Вернер,Buhmiller-Verner,1
Дуфлот,Duflot,1
Бухкамер,Buhkamer,1
Бухман,Buhman,1
Гухманов,Guhmanov,1
Бухолыд,Buholyd,1
Бухта,Buhta,1
Гуфф,Guff,1
Буххольц,Buhholʹc,1
Гуффа,Guffa,1
Бухарн,Buharn,1
Гуцалова,Gucalova,1
Буш-Штейнмиллер,Buš-Štejnmiller,1
Бушбах,Bušbah,1
Бушковский,Buškovskij,1
Бушковская,Buškovskaâ,1
Душнат,Dušnat,1
Бушевич,Buševič,1
Бушер,Bušer,1
Бушеловский,Bušelovskij,1
Душук,Dušuk,1
Гущина,Guŝina,1
Баяр,Baâr,1
Баярле,Baârle,1
Ваян,Vaân,1
Бачинская,Bačinskaâ,1
Гачинская,Gačinskaâ,1
Бад,Bad,1
Бабий,Babij,1
Вавилин,Vavilin,1
Бадингер,Badinger,1
Бабинова,Babinova,1
Бабицкая,Babickaâ,1
Габриил,Gabriil,1
Гаврилова,Gavrilova,1
Гавриленко,Gavrilenko,1
Габриель,Gabrielʹ,1
Гавров,Gavrov,1
Гаврова,Gavrova,1
Гадроссек,Gadrossek,1
Гаврась,Gavrasʹ,1
Гавлик-Зерунько,Gavlik-Zerunʹko,1
Бабкина-Кинцель,Babkina-Kincelʹ,1
Бабков,Babkov,1
Вагнер-Динер,Vagner-Diner,1
Вагнер-Лизновская,Vagner-Liznovskaâ,1
Вагнер-Шнель,Vagner-Šnelʹ,1
Габергорн,Gabergorn,1
Габерзак,Gaberzak,1
Габерзат,Gaberzat,1
Гаверкорн,Gaverkorn,1
Габерман-Кем,Gaberman-Kem,1
Габерштро,Gaberštro,1
Вагелин-Тычкина,Vagelin-Tyčkina,1
Габекорн,Gabekorn,1
Вабель,Vabelʹ,1
Вагель,Vagelʹ,1
Габель-Герштейн,Gabelʹ-Gerštejn,1
Гагельганц-Овчинникова,Gagelʹganc-Ovčinnikova,1
Гагенганц,Gagenganc,1
Гагенштейн,Gagenštejn,1
Бабецкий,Babeckij,1
Вабульник,Vabulʹnik,1
Бабанина,Babanina,1
Бадаева,Badaeva,1
Багаутдинова,Bagautdinova,1
Бадэр,Badér,1
Газ,Gaz,1
Базгард,Bazgard,1
Газизова,Gazizova,1
Базилевская,Bazilevskaâ,1
Вазингер,Vazinger,1
Базинер,Baziner,1
Газлер,Gazler,1
Газов,Gazov,1
Вазем,Vazem,1
Ваземмиллер,Vazemmiller,1
Базен,Bazen,1
Вазенгер,Vazenger,1
Вазенмюллер,Vazenmûller,1
Баженова,Baženova,1
Газенфус,Gazenfus,1
Газенауэр,Gazenauér,1
Газхора,Gazhora,1
Газарх,Gazarh,1
Гаиль,Gailʹ,1
Ваинбергер,Vainberger,1
Гаит,Gait,1
Гаити,Gaiti,1
Ваист,Vaist,1
Даитхе,Daithe,1
Ваиц,Vaic,1
Бар,Bar,1
Гар,Gar,1
Гардинг,Garding,1
Барвинюк-Райтер,Barvinûk-Rajter,1
Барбие,Barbie,1
Барбис,Barbis,1
Гарбриель,Garbrielʹ,1
Баргер,Barger,1
Гарбер,Garber,1
Гардер-Беккер,Garder-Bekker,1
Даргель,Dargelʹ,1
Барген,Bargen,1
Варденбург,Vardenburg,1
Бардт,Bardt,1
Гардт-Гаас,Gardt-Gaas,1
Гардунг,Gardung,1
Гардфельдер,Gardfelʹder,1
Гарвард,Garvard,1
Гарвардт,Garvardt,1
Барбаш,Barbaš,1
Барвых,Barvyh,1
Варияс,Variâs,1
Гарр,Garr,1
Гаррес,Garres,1
Даркович,Darkovič,1
Барковский,Barkovskij,1
Барке,Barke,1
Вармсбехер,Varmsbeher,1
Варламова-Занд,Varlamova-Zand,1
Варламова-Кун,Varlamova-Kun,1
Гарман,Garman,1
Гапончик,Gapončik,1
Гапоненко,Gaponenko,1
Гарнер,Garner,1
Гарейс-Гарейск,Garejs-Garejsk,1
Варенке,Varenke,1
Бареш,Bareš,1
Варт,Vart,1
Барт-Краснопольская,Bart-Krasnopolʹskaâ,1
Барт-Люц,Bart-Lûc,1
Гартвич-Кулагина,Gartvič-Kulagina,1
Гартвинг,Gartving,1
Гартич,Gartič,1
Бартков,Bartkov,1
Бартле,Bartle,1
Вартман,Vartman,1
Барсова,Barsova,1
Бартницкая,Bartnickaâ,1
Бартольд,Bartolʹd,1
Гартнер-Суркова,Gartner-Surkova,1
Бартош,Bartoš,1
Гарте,Garte,1
Бартельс,Bartelʹs,1
Гартфиль,Gartfilʹ,1
Гартунг-Верт,Gartung-Vert,1
Гартунг-Козубенко,Gartung-Kozubenko,1
Гартунг-Ершова,Gartung-Eršova,1
Гартунг-Щеглова,Gartung-Ŝeglova,1
Дартау,Dartau,1
Гартштейн,Gartštejn,1
Бартщиковски,Bartŝikovski,1
Гарцингер-Городецкая,Garcinger-Gorodeckaâ,1
Бархет,Barhet,1
Барух,Baruh,1
Барабс,Barabs,1
Барабанова,Barabanova,1
Гарайс-Лапшина,Garajs-Lapšina,1
Гарайск,Garajsk,1
Баранчук,Barančuk,1
Варанкина,Varankina,1
Баранкевич,Barankevič,1
Баранова-Швагерус,Baranova-Švagerus,1
Баранников,Barannikov,1
Баранникова,Barannikova,1
Бараул,Baraul,1
Варьяс,Varʹâs,1
Барышева,Baryševa,1
Гак-Долькина,Gak-Dolʹkina,1
Бай-Руппель,Baj-Ruppelʹ,1
Дайч,Dajč,1
Дайчман,Dajčman,1
Вакчук,Vakčuk,1
Гайчук,Gajčuk,1
Гайчуков,Gajčukov,1
Гайдбауэр,Gajdbauér,1
Гайдичар,Gajdičar,1
Байдин,Bajdin,1
Гайдин,Gajdin,1
Байдингерах,Bajdingerah,1
Дамбовская,Dambovskaâ,1
Вамбольт,Vambolʹt,1
Вайгон,Vajgon,1
Вайгондт,Vajgondt,1
Вайгнер,Vajgner,1
Байгер,Bajger,1
Дайберг,Dajberg,1
Бамбергер,Bamberger,1
Дайберт,Dajbert,1
Вайгерт,Vajgert,1
Байдек,Bajdek,1
Байдель,Bajdelʹ,1
Гайдель,Gajdelʹ,1
Вайденгомер,Vajdengomer,1
Вайденталь,Vajdentalʹ,1
Гамбург-Дель,Gamburg-Delʹ,1
Гамбург-Кондрашина,Gamburg-Kondrašina,1
Бамбух,Bambuh,1
Гайда,Gajda,1
Вайгадт,Vajgadt,1
Вайвар,Vajvar,1
Гамбалат,Gambalat,1
Вайганд,Vajgand,1
Бамбах,Bambah,1
Вайзбек-Центер,Vajzbek-Center,1
Вайзерт-Кунц,Vajzert-Kunc,1
Вайзель,Vajzelʹ,1
Байзель-Бойкова,Bajzelʹ-Bojkova,1
Байзель-Соколова,Bajzelʹ-Sokolova,1
Дамзен-Ермакова,Damzen-Ermakova,1
Вайзенгер-Тащилина,Vajzenger-Taŝilina,1
Вайзенбургер,Vajzenburger,1
Гайзенхайнер,Gajzenhajner,1
Байзаль,Bajzalʹ,1
Валич,Valič,1
Галий,Galij,1
Балингер,Balinger,1
Гамп,Gamp,1
Гамп-Томский,Gamp-Tomskij,1
Байрит,Bajrit,1
Гампер,Gamper,1
Гампель,Gampelʹ,1
Далл,Dall,1
Гайк,Gajk,1
Валл-Фрицлер,Vall-Fricler,1
Балк-Фельдбау,Balk-Felʹdbau,1
Галкина-Гельвир,Galkina-Gelʹvir,1
Баллиет,Balliet,1
Гайлит,Gajlit,1
Баллист,Ballist,1
Галлиард,Galliard,1
Дайлов,Dajlov,1
Гаклов,Gaklov,1
Дайлова,Dajlova,1
Байкова,Bajkova,1
Байкова-Дьячкова,Bajkova-Dʹâčkova,1
Байкова-Петрушкина,Bajkova-Petruškina,1
Байкова-Рат,Bajkova-Rat,1
Балконский,Balkonskij,1
Дамке,Damke,1
Галле-Кондратьева,Galle-Kondratʹeva,1
Галле-Мельник,Galle-Melʹnik,1
Гаммер-Шмидт,Gammer-Šmidt,1
Гаммерник-Кутумова,Gammernik-Kutumova,1
Ваймерт,Vajmert,1
Галлерт,Gallert,1
Гаммемр,Gammemr,1
Гайлеман,Gajleman,1
Байкель,Bajkelʹ,1
Гаккельберг,Gakkelʹberg,1
Вайкум,Vajkum,1
Баймухометов,Bajmuhometov,1
Баллардт,Ballardt,1
Гамман,Gamman,1
Вайман-Латвич,Vajman-Latvič,1
Вайланд,Vajland,1
Байльман,Bajlʹman,1
Дайнберг,Dajnberg,1
Вайнзидлер,Vajnzidler,1
Галоп,Galop,1
Вайнмаер,Vajnmaer,1
Ваконо,Vakono,1
Вайнер-Верник,Vajner-Vernik,1
Вайнерд,Vajnerd,1
Вайнерт,Vajnert,1
Гайнс,Gajns,1
Вайнц,Vajnc,1
Вайнцель,Vajncelʹ,1
Гайнцель,Gajncelʹ,1
Валединский,Valedinskij,1
Бамезбергер,Bamezberger,1
Гамер,Gamer,1
Байерле,Bajerle,1
Гамермейстер,Gamermejster,1
Байерлен,Bajerlen,1
Балерт,Balert,1
Гамершмид,Gameršmid,1
Гамель,Gamelʹ,1
Гакельберг,Gakelʹberg,1
Дамен,Damen,1
Балендер,Balender,1
Вайенбендер,Vajenbender,1
Валентинова,Valentinova,1
Балескова,Baleskova,1
Валешковский,Valeškovskij,1
Байт,Bajt,1
Вайт,Vajt,1
Дамс-Гинц,Dams-Ginc,1
Дайс-Миллер,Dajs-Miller,1
Дамс-Лапшин,Dams-Lapšin,1
Дамс-Осипова,Dams-Osipova,1
Вайс-Фролова,Vajs-Frolova,1
Вайсбег,Vajsbeg,1
Вайсбеккер,Vajsbekker,1
Вайсбекер,Vajsbeker,1
Вайсмиллер,Vajsmiller,1
Вайскерберг-Матусян,Vajskerberg-Matusân,1
Вайскеппель,Vajskeppelʹ,1
Вайтмаер,Vajtmaer,1
Байте,Bajte,1
Вайсе,Vajse,1
Байтель,Bajtelʹ,1
Вайсенбургер,Vajsenburger,1
Балтес,Baltes,1
Дайтхе,Dajthe,1
Дайтхе-Едавкина,Dajthe-Edavkina,1
Бакуменко,Bakumenko,1
Гайцман,Gajcman,1
Галунова,Galunova,1
Вайхнер,Vajhner,1
Байцер,Bajcer,1
Гайценпреейдер,Gajcenpreejder,1
Бамусбергер,Bamusberger,1
Вала,Vala,1
Балабанова,Balabanova,1
Галактионов,Galaktionov,1
Галамазов,Galamazov,1
Гаман-Кнейб,Gaman-Knejb,1
Гаман-Шайдт,Gaman-Šajdt,1
Галас,Galas,1
Балах,Balah,1
Галаунер,Galauner,1
Байш,Bajš,1
Бакши,Bakši,1
Бакши-Виноградова,Bakši-Vinogradova,1
Валюкас,Valûkas,1
Балюшек,Balûšek,1
Валь-Стрижакова,Valʹ-Strižakova,1
Гальчук,Galʹčuk,1
Галыгина,Galygina,1
Гальвиц,Galʹvic,1
Бальде,Balʹde,1
Вальбер-Поняева,Valʹber-Ponâeva,1
Гальберг,Galʹberg,1
Бальгейм,Balʹgejm,1
Вальдейт,Valʹdejt,1
Вальдт,Valʹdt,1
Бальдур,Balʹdur,1
Гальперсон,Galʹperson,1
Вальрабенштейн,Valʹrabenštejn,1
Вальковский,Valʹkovskij,1
Вальковская,Valʹkovskaâ,1
Вальке,Valʹke,1
Бальман,Balʹman,1
Балькау,Balʹkau,1
Вальнер-Демченко,Valʹner-Demčenko,1
Вальнер-Павлова,Valʹner-Pavlova,1
Гальт,Galʹt,1
Вальт-Вальдт,Valʹt-Valʹdt,1
Вальсдорф,Valʹsdorf,1
Бальсон,Balʹson,1
Гальтер,Galʹter,1
Вальтер-Голиков,Valʹter-Golikov,1
Вальтер-Федоренко,Valʹter-Fedorenko,1
Вальтер-Штуберт,Valʹter-Štubert,1
Бальц,Balʹc,1
Вальх,Valʹh,1
Вальцер,Valʹcer,1
Бальцер-Герляц,Balʹcer-Gerlâc,1
Бальцерейт,Balʹcerejt,1
Вальюнг,Valʹûng,1
Байэр,Bajér,1
Валэш,Valéš,1
Дан,Dan,1
Ган-Мольман,Gan-Molʹman,1
Ган-Шварева,Gan-Švareva,1
Ган-Шембергер,Gan-Šemberger,1
Банд,Band,1
Ванд-Вальдшмидт,Vand-Valʹdšmidt,1
Гандверг,Gandverg,1
Вандзидлер,Vandzidler,1
Гандзлик,Gandzlik,1
Вандрай,Vandraj,1
Вандрашек,Vandrašek,1
Гандке,Gandke,1
Дандорф,Dandorf,1
Гангнус,Gangnus,1
Гангус,Gangus,1
Данвальд,Danvalʹd,1
Дангаузер,Dangauzer,1
Банзидлер,Banzidler,1
Банзимир,Banzimir,1
Банзе,Banze,1
Банземир,Banzemir,1
Ганзель,Ganzelʹ,1
Ганзен-Траубе,Ganzen-Traube,1
Данилович,Danilovič,1
Данилевский,Danilevskij,1
Даникер,Daniker,1
Данильчук,Danilʹčuk,1
Данинг,Daning,1
Ганис,Ganis,1
Ганиш,Ganiš,1
Банковский,Bankovskij,1
Ганке,Ganke,1
Данн-Гиль,Dann-Gilʹ,1
Ганн-Карб,Gann-Karb,1
Данникер,Danniker,1
Ганне,Ganne,1
Гане,Gane,1
Даневиц,Danevic,1
Ганерт,Ganert,1
Ганеман,Ganeman,1
Ганск,Gansk,1
Ганский,Ganskij,1
Гансон,Ganson,1
Гантер,Ganter,1
Данцигер,Danciger,1
Данцкер,Dancker,1
Ганценбиллер,Gancenbiller,1
Ванцетель,Vancetelʹ,1
Ганца,Ganca,1
Банак,Banak,1
Ванаева,Vanaeva,1
Ганау,Ganau,1
Ганш-Меркулова,Ganš-Merkulova,1
Ваншейдт,Vanšejdt,1
Ганье,Ganʹe,1
Баерздорф,Baerzdorf,1
Ваенбендер,Vaenbender,1
Бат,Bat,1
Василянская,Vasilânskaâ,1
Васильева-Гюнтер,Vasilʹeva-Gûnter,1
Гасперт,Gaspert,1
Батракова,Batrakova,1
Батке,Batke,1
Ватке,Vatke,1
Гатке,Gatke,1
Васман,Vasman,1
Гасольд,Gasolʹd,1
Васнер,Vasner,1
Гаснер,Gasner,1
Ватерстраат,Vaterstraat,1
Васертай,Vasertaj,1
Ватель,Vatelʹ,1
Гасельгейм,Gaselʹgejm,1
Басенин,Basenin,1
Гассольд,Gassolʹd,1
Гассель,Gasselʹ,1
Гассельгейм,Gasselʹgejm,1
Гассенрик,Gassenrik,1
Баталова,Batalova,1
Гасанов,Gasanov,1
Басюлев,Basûlev,1
Гаф,Gaf,1
Гах,Gah,1
Даудзит,Daudzit,1
Гаубац,Gaubac,1
Гауз-Тауш,Gauz-Tauš,1
Даужгауэр,Daužgauér,1
Даузгауэр,Dauzgauér,1
Даузе,Dauze,1
Баузе,Bauze,1
Баузер,Bauzer,1
Гаурков,Gaurkov,1
Гауптфогель,Gauptfogelʹ,1
Баумгертгенр,Baumgertgenr,1
Баумгарт,Baumgart,1
Баумгартнер,Baumgartner,1
Баумгартен,Baumgarten,1
Гацковский,Gackovskij,1
Гацке,Gacke,1
Баумейстер,Baumejster,1
Баумунг,Baumung,1
Гауман,Gauman,1
Бауман-Дроздова,Bauman-Drozdova,1
Бауманн,Baumann,1
Даукшт,Daukšt,1
Гаунг,Gaung,1
Даунгауер,Daungauer,1
Бахерт,Bahert,1
Дафт,Daft,1
Даус-Бауэр,Daus-Bauér,1
Гаус-Штарк,Gaus-Štark,1
Баускайтис,Bauskajtis,1
Вахтер,Vahter,1
Даутерт,Dautert,1
Даутель,Dautelʹ,1
Гаутцель,Gautcelʹ,1
Даутфест,Dautfest,1
Гаусауэр,Gausauér,1
Гаусшиль,Gausšilʹ,1
Гауф,Gauf,1
Даффе,Daffe,1
Гафферберг,Gafferberg,1
Вахутин,Vahutin,1
Гауффе,Gauffe,1
Вахау,Vahau,1
Гауш,Gauš,1
Гаушильд,Gaušilʹd,1
Бауэр-Биль,Bauér-Bilʹ,1
Бауэр-Ворова,Bauér-Vorova,1
Бауэр-Лейле,Bauér-Lejle,1
Бауэр-Титова,Bauér-Titova,1
Гауэргоф,Gauérgof,1
Дауэнгауэр,Dauéngauér,1
Гауэнштейн,Gauénštejn,1
Гаач,Gaač,1
Гааб-Кинсфатер,Gaab-Kinsfater,1
Гааб-Степанова,Gaab-Stepanova,1
Гааб-Сушко,Gaab-Suško,1
Гааге,Gaage,1
Гаарт,Gaart,1
Ваал,Vaal,1
Ваал-Шнайдер,Vaal-Šnajder,1
Вааль,Vaalʹ,1
Гаас-Войтко,Gaas-Vojtko,1
Гааф,Gaaf,1
Башинский,Bašinskij,1
Башкатова,Baškatova,1
Вашкау,Vaškau,1
Гаше,Gaše,1
Вашак,Vašak,1
Дюриг,Dûrig,1
Дюрр,Dûrr,1
Вюртнер,Vûrtner,1
Вюрц,Vûrc,1
Бюм,Bûm,1
Бюкинг,Bûking,1
Дюммель,Dûmmelʹ,1
Бюль,Bûlʹ,1
Гюльденштуббе,Gûlʹdenštubbe,1
Гюн,Gûn,1
Бюнгер,Bûnger,1
Дюнзе,Dûnze,1
Гюнтер-Крюкова,Gûnter-Krûkova,1
Дьяков,Dʹâkov,1
Дьякова-Юмашева,Dʹâkova-Ûmaševa,1
Бычковская-Кем,Byčkovskaâ-Kem,1
Выдрина-Шпрингер,Vydrina-Špringer,1
Дыбо,Dybo,1
Выбе,Vybe,1
Дыгай,Dygaj,1
Выргил-Ларсен,Vyrgil-Larsen,1
Дыркс,Dyrks,1
Выродова,Vyrodova,1
Быкова-Штеркель,Bykova-Šterkelʹ,1
Дыкехут,Dykehut,1
Дымский,Dymskij,1
Дыль,Dylʹ,1
Дыниус,Dynius,1
Дынкель,Dynkelʹ,1
Дыннер,Dynner,1
Дыер,Dyer,1
Бытко,Bytko,1
Дытман,Dytman,1
Бытова,Bytova,1
Высотцки,Vysotcki,1
Высоцкис,Vysockis,1
Быцко,Bycko,1
Бышкина,Byškina,1
Дышке,Dyške,1
Бышов,Byšov,1
Дэр,Dér,1
Дэрк,Dérk,1
Бэме,Béme,1
Згиблая,Zgiblaâ,1
Збитнева,Zbitneva,1
Здор,Zdor,1
Зверок,Zverok,1
Жданова,Ždanova,1
Жданова-Келлер,Ždanova-Keller,1
Жданова-Лютцева,Ždanova-Lûtceva,1
Жданова-Шульмейстер,Ždanova-Šulʹmejster,1
Зиггерт,Ziggert,1
Зигварт,Zigvart,1
Жидзье,Židzʹe,1
Живкович,Živkovič,1
Жидович,Židovič,1
Зибольд,Zibolʹd,1
Животова,Životova,1
Зиверс,Zivers,1
Зибельт,Zibelʹt,1
Зибенгаар,Zibengaar,1
Жигулев,Žigulev,1
Живулько,Živulʹko,1
Жигульский-Клейн,Žigulʹskij-Klejn,1
Зиппельт,Zippelʹt,1
Зипман,Zipman,1
Зилингер,Zilinger,1
Жилинский,Žilinskij,1
Жилинская,Žilinskaâ,1
Жиллис,Žillis,1
Зиллер,Ziller,1
Зиммеринг,Zimmering,1
Зиллерн,Zillern,1
Зиккель,Zikkelʹ,1
Зиккау,Zikkau,1
Зилов,Zilov,1
Зимон,Zimon,1
Зимене,Zimene,1
Зименский,Zimenskij,1
Зименцов,Zimencov,1
Зимуст,Zimust,1
Зильвер,Zilʹver,1
Зильберберк,Zilʹberberk,1
Зильберман,Zilʹberman,1
Зильбернагель,Zilʹbernagelʹ,1
Зильц-Шендриков,Zilʹc-Šendrikov,1
Зинченко,Zinčenko,1
Зингерова,Zingerova,1
Зинниг,Zinnig,1
Зиннер-Граубергер,Zinner-Grauberger,1
Зиннер-Рем,Zinner-Rem,1
