surname,surname_latin,n
Бренинг,Brening,13
Гокк,Gokk,13
Вервейн,Vervejn,13
Дерр,Derr,13
Гепнер,Gepner,13
Герц,Gerc,13
Веймер,Vejmer,13
Дейнис,Dejnis,13
Вельш,Velʹš,13
Бенц,Benc,13
Децель,Decelʹ,13
Вехтер,Vehter,13
Гунгер,Gunger,13
Гарайс,Garajs,13
Гак,Gak,13
Байтингер,Bajtinger,13
Вайц,Vajc,13
Ганшу,Ganšu,13
Баум,Baum,13
Зейб,Zejb,13
Земан,Zeman,13
Репп,Repp,13
Рейс,Rejs,13
Рейтер,Rejter,13
Петкау,Petkau,13
Петер,Peter,13
Рангно,Rangno,13
Лидер,Lider,13
Мирау,Mirau,13
Клинк,Klink,13
Лотц,Lotc,13
Кемпф,Kempf,13
Меленберг,Melenberg,13
Лейсле,Lejsle,13
Леонгардт,Leongardt,13
Кари,Kari,13
Найбергер,Najberger,13
Найман,Najman,13
Науман,Nauman,13
Еске,Eske,13
Суппес,Suppes,13
Циммер,Cimmer,13
Урих,Urih,13
Фурман,Furman,13
Андреас,Andreas,13
Шванке,Švanke,13
Шеф,Šef,13
Эзау,Ézau,13
Эстерле,Ésterle,13
Гильд,Gilʹd,12
Вильт,Vilʹt,12
Бин,Bin,12
Винник,Vinnik,12
Биттер,Bitter,12
Брейнер,Brejner,12
Грасс,Grass,12
Глеклер,Glekler,12
Допперт,Doppert,12
Гоффербер,Gofferber,12
Гегер,Geger,12
Девальд,Devalʹd,12
Герб,Gerb,12
Бернгард,Berngard,12
Гертер,Gerter,12
Гейнбихнер,Gejnbihner,12
Гельд,Gelʹd,12
Генрих,Genrih,12
Гуммель,Gummelʹ,12
Вунш,Vunš,12
Бадер,Bader,12
Бартель,Bartelʹ,12
Гайденрайх,Gajdenrajh,12
Гамбург,Gamburg,12
Гаман,Gaman,12
Вальгер,Valʹger,12
Баумгертнер,Baumgertner,12
Ример,Rimer,12
Ринг,Ring,12
Ринас,Rinas,12
Риффель,Riffelʹ,12
Прахт,Praht,12
Рерих,Rerih,12
Ляйс,Lâjs,12
Ляубган,Lâubgan,12
Кваст,Kvast,12
Киппес,Kippes,12
Литау,Litau,12
Лиц,Lic,12
Круч,Kruč,12
Кляус,Klâus,12
Клестер,Klester,12
Кольман,Kolʹman,12
Лоос,Loos,12
Кельм,Kelʹm,12
Меслер,Mesler,12
Лехнер,Lehner,12
Кефер,Kefer,12
Кунце,Kunce,12
Кунхель,Kunhelʹ,12
Муферт,Mufert,12
Карх,Karh,12
Оденбах,Odenbah,12
Трабер,Traber,12
Фрей,Frej,12
Фольмер,Folʹmer,12
Асмус,Asmus,12
Шох,Šoh,12
Штраух,Štrauh,12
Якубовский,Âkubovskij,12
Ютт,Ûtt,12
Эндерс,Énders,12
Эслингер,Éslinger,12
Видмер,Vidmer,11
Дридгер,Dridger,11
Блем,Blem,11
Глейх,Glejh,11
Глазер,Glazer,11
Гоге,Goge,11
Боргенц,Borgenc,11
Борн,Born,11
Бок,Bok,11
Гоманн,Gomann,11
Гонштейн,Gonštejn,11
Дедерер,Dederer,11
Ведель,Vedelʹ,11
Гервик,Gervik,11
Герзикорн,Gerzikorn,11
Гертнер,Gertner,11
Вейгель,Vejgelʹ,11
Геккель,Gekkelʹ,11
Гельцер,Gelʹcer,11
Генне,Genne,11
Беннер,Benner,11
Гефеле,Gefele,11
Дубс,Dubs,11
Бургардт,Burgardt,11
Бурбах,Burbah,11
Дукарт,Dukart,11
Вайман,Vajman,11
Дамс,Dams,11
Ваннер,Vanner,11
Зайферт,Zajfert,11
Зауэр,Zauér,11
Риммер,Rimmer,11
Предигер,Prediger,11
Рознер,Rozner,11
Рот,Rot,11
Реймхе,Rejmhe,11
Рутц,Rutc,11
Райхерт,Rajhert,11
Паули,Pauli,11
Линке,Linke,11
Линкер,Linker,11
Кинсфатер,Kinsfater,11
Крей,Krej,11
Класс,Klass,11
Клюстер,Klûster,11
Лоран,Loran,11
Меркер,Merker,11
Кейн,Kejn,11
Кауль,Kaulʹ,11
Лауфер,Laufer,11
Маас,Maas,11
Кашинский,Kašinskij,11
Люц,Lûc,11
Ниденталь,Nidentalʹ,11
Тейхреб,Tejhreb,11
Сайферт,Sajfert,11
Фильберт,Filʹbert,11
Фролова,Frolova,11
Фрейнд,Frejnd,11
Фок,Fok,11
Федер,Feder,11
Фауст,Faust,11
Абт,Abt,11
Шиллер,Šiller,11
Шиц,Šic,11
Шрайбер,Šrajber,11
Шейфель,Šejfelʹ,11
Штольц,Štolʹc,11
Штеле,Štele,11
Шуллер,Šuller,11
Шатнер,Šatner,11
Яуфман,Âufman,11
Эбергардт,Ébergardt,11
Виллевальд,Villevalʹd,10
Гиндер,Ginder,10
Дингелакер,Dingelaker,10
Виснер,Visner,10
Дрейц,Drejc,10
Драйлих,Drajlih,10
Дорнгоф,Dorngof,10
Войт,Vojt,10
Вольтер,Volʹter,10
Гебер,Geber,10
Гервальд,Gervalʹd,10
Герлингер,Gerlinger,10
Вейгандт,Vejgandt,10
Гейнец,Gejnec,10
Гейт,Gejt,10
Бенгардт,Bengardt,10
Бенке,Benke,10
Гетингер,Getinger,10
Бецилле,Becille,10
Вукерт,Vukert,10
Бутерус,Buterus,10
Газе,Gaze,10
Барон,Baron,10
Даршт,Daršt,10
Байзель,Bajzelʹ,10
Дайнес,Dajnes,10
Байц,Bajc,10
Ганн,Gann,10
Гаар,Gaar,10
Гаан,Gaan,10
Завадская,Zavadskaâ,10
Роде,Rode,10
Роон,Roon,10
Петкер,Petker,10
Реш,Reš,10
Райс,Rajs,10
Либрехт,Libreht,10
Лифке,Lifke,10
Кренинг,Krening,10
Лоц,Loc,10
Лейнвебер,Lejnveber,10
Магель,Magelʹ,10
Маркус,Markus,10
Ламмок,Lammok,10
Калькопф,Kalʹkopf,10
Матерн,Matern,10
Маар,Maar,10
Людвиг,Lûdvig,10
Николаус,Nikolaus,10
Нисс,Niss,10
Остер,Oster,10
Ситнер,Sitner,10
Унгефуг,Ungefug,10
Федорова,Fedorova,10
Функнер,Funkner,10
Шпомер,Špomer,10
Шлотгауэр,Šlotgauér,10
Шерер,Šerer,10
Шенфельд,Šenfelʹd,10
Штейнке,Štejnke,10
Шталь,Štalʹ,10
Шультайс,Šulʹtajs,10
Шаф,Šaf,10
Шааб,Šaab,10
Экснер,Éksner,10
Вигель,Vigelʹ,9
Бир,Bir,9
Бильфельд,Bilʹfelʹd,9
Диттер,Ditter,9
Грабовский,Grabovskij,9
Грасмик,Grasmik,9
Гольман,Golʹman,9
Геддерт,Geddert,9
Гергенредер,Gergenreder,9
Гепперт,Geppert,9
Гейгер,Gejger,9
Геймбух,Gejmbuh,9
Веккер,Vekker,9
Гейман,Gejman,9
Гейль,Gejlʹ,9
Гельдт,Gelʹdt,9
Генш,Genš,9
Гессель,Gesselʹ,9
Бетхер,Bether,9
Гец,Gec,9
Буч,Buč,9
Бургарт,Burgart,9
Гуш,Guš,9
Галле,Galle,9
Гайнбихнер,Gajnbihner,9
Вайхель,Vajhelʹ,9
Гайценпрейдер,Gajcenprejder,9
Вахнер,Vahner,9
Баус,Baus,9
Вааг,Vaag,9
Зейбель,Zejbelʹ,9
Зеель,Zeelʹ,9
Иммель,Immelʹ,9
Иккес,Ikkes,9
Исаак,Isaak,9
Ритцель,Ritcelʹ,9
Рогальский,Rogalʹskij,9
Рользинг,Rolʹzing,9
Рейнгард,Rejngard,9
Рейнгардт,Rejngardt,9
Пфейф,Pfejf,9
Райфшнайдер,Rajfšnajder,9
Ратт,Ratt,9
Либерт,Libert,9
Миних,Minih,9
Лихтнер,Lihtner,9
Крепс,Kreps,9
Кратц,Kratc,9
Клюк,Klûk,9
Коппель,Koppelʹ,9
Лорей,Lorej,9
Кнодель,Knodelʹ,9
Мейдер,Mejder,9
Кейльман,Kejlʹman,9
Келер,Keler,9
Мель,Melʹ,9
Кусмауль,Kusmaulʹ,9
Капп,Kapp,9
Майбах,Majbah,9
Ламп,Lamp,9
Лаубган,Laubgan,9
Лаук,Lauk,9
Махт,Maht,9
Траксель,Trakselʹ,9
Траут,Traut,9
Траутвейн,Trautvejn,9
Томм,Tomm,9
Сатлер,Satler,9
Фиц,Fic,9
Фриккель,Frikkelʹ,9
Христман,Hristman,9
Фогельгезанг,Fogelʹgezang,9
Целлер,Celler,9
Фельде,Felʹde,9
Цехмейстер,Cehmejster,9
Фабер,Faber,9
Адольф,Adolʹf,9
Арендт,Arendt,9
Айрих,Ajrih,9
Альбрант,Alʹbrant,9
Альберг,Alʹberg,9
Альберт,Alʹbert,9
Шитц,Šitc,9
Шрамм,Šramm,9
Шлейнинг,Šlejning,9
Шнель,Šnelʹ,9
Штелле,Štelle,9
Штумпф,Štumpf,9
Штадлер,Štadler,9
Эберле,Éberle,9
Эрбес,Érbes,9
Эрмиш,Érmiš,9
Экк,Ékk,9
Экстер,Ékster,9
Визе,Vize,8
Гизе,Gize,8
Виль,Vilʹ,8
Гильдебранд,Gilʹdebrand,8
Витенбергер,Vitenberger,8
Дригерт,Drigert,8
Грош,Groš,8
Брем,Brem,8
Бруннер,Brunner,8
Блок,Blok,8
Глок,Glok,8
Доян,Doân,8
Гордок,Gordok,8
Гойс,Gojs,8
Больц,Bolʹc,8
Гооге,Googe,8
Готман,Gotman,8
Дер,Der,8
Дерингер,Deringer,8
Бейзель,Bejzelʹ,8
Бейм,Bejm,8
Вейнгард,Vejngard,8
Векерле,Vekerle,8
Гельм,Gelʹm,8
Велькер,Velʹker,8
Гельфинбайн,Gelʹfinbajn,8
Геншель,Genšelʹ,8
Деньгоф,Denʹgof,8
Бетке,Betke,8
Ветштейн,Vetštejn,8
Бехер,Beher,8
Гефель,Gefelʹ,8
Гукенгеймер,Gukengejmer,8
Давид,David,8
Гарт,Gart,8
Гартвич,Gartvič,8
Гартвиг,Gartvig,8
Вамбольд,Vambolʹd,8
Дайзель,Dajzelʹ,8
Вайспек,Vajspek,8
Вальд,Valʹd,8
Вальдер,Valʹder,8
Вальт,Valʹt,8
Данн,Dann,8
Васильева,Vasilʹeva,8
Бастрон,Bastron,8
Гауптфлейш,Gauptflejš,8
Зеслер,Zesler,8
Зайдель,Zajdelʹ,8
Илензеер,Ilenzeer,8
Ристо,Risto,8
Риш,Riš,8
Рольгейзер,Rolʹgejzer,8
Ротман,Rotman,8
Рекке,Rekke,8
Ренц,Renc,8
Ретхер,Rether,8
Рубе,Rube,8
Руль,Rulʹ,8
Пфайфер,Pfajfer,8
Рапп,Rapp,8
Ракк,Rakk,8
Райсих,Rajsih,8
Лир,Lir,8
Линг,Ling,8
Круг,Krug,8
Крузе,Kruze,8
Крапп,Krapp,8
Кляйм,Klâjm,8
Клих,Klih,8
Клаузер,Klauzer,8
