date_ym,ETHNIC_BEL,ETHNIC_UKR,ETHNIC_GER,ETHNIC_POL,ETHNIC_ARMENIAN,ETHNIC_GREEK,ETHNIC_JEWISH,ETHNIC_KABARDIN,ETHNIC_KALMYK,ETHNIC_CHINESE,ETHNIC_KOREAN,ETHNIC_LATVIAN,ETHNIC_LITHUANIAN,ETHNIC_OSSETIAN,ETHNIC_ESTONIAN,ETHNIC_TATAR,ETHNIC_CHECHEN,n
1920-4-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1920-4-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
1920-4-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
1920-4-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22
1920-4-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1920-4-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1920-5-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029
1920-5-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
1920-5-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1920-5-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
1920-5-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
1920-5-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
1920-5-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1920-5-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1920-5-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7
1920-5-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11
1920-5-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1920-5-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38
1920-5-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1920-5-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1920-5-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1920-6-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052
1920-6-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
1920-6-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8
